,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2009-06-08,,,,,,,93.83999633789062,95.0999984741211,93.04000091552734,94.16000366210938,73.77523040771484,238565100
2009-06-09,,,,,,,94.69000244140625,95.13999938964844,94.0199966430664,94.63999938964844,74.15127563476562,225125500
2009-06-10,,,,,,,95.4800033569336,95.48999786376953,93.19000244140625,94.4000015258789,73.96324920654297,296100400
2009-06-11,,,,,,,94.58000183105469,96.11000061035156,94.55999755859375,94.81999969482422,74.29229736328125,275414200
2009-06-12,,,,,,,94.4000015258789,95.13999938964844,94.0,95.08000183105469,74.49602508544922,184361800
2009-06-15,,,,,,,93.95999908447266,94.0199966430664,92.4000015258789,92.9000015258789,72.7879867553711,224190500
2009-06-16,,,,,,,93.2300033569336,93.29000091552734,91.58000183105469,91.63999938964844,71.80076599121094,227319000
2009-06-17,,,,,,,91.5999984741211,92.33000183105469,90.83000183105469,91.55000305175781,71.73021697998047,223445200
2009-06-18,,,,,,,91.69000244140625,92.66999816894531,91.25,92.22000122070312,72.25519561767578,211725100
2009-06-19,,,,,,,92.58000183105469,92.69999694824219,91.5199966430664,92.04000091552734,72.52149963378906,215655600
2009-06-22,,,,,,,91.13999938964844,91.19000244140625,89.25,89.27999877929688,70.3468246459961,251913600
2009-06-23,,,,,,,89.47000122070312,89.87999725341797,88.8499984741211,89.3499984741211,70.40196228027344,188309800
2009-06-24,,,,,,,90.16000366210938,91.08000183105469,89.5999984741211,90.12000274658203,71.00867462158203,211577700
2009-06-25,,,,,,,89.66999816894531,92.16999816894531,89.56999969482422,92.08000183105469,72.55302429199219,279411000
2009-06-26,,,,,,,91.7699966430664,92.23999786376953,91.2699966430664,91.83999633789062,72.36390686035156,167579000
2009-06-29,,,,,,,92.11000061035156,92.81999969482422,91.5999984741211,92.69999694824219,73.04154205322266,168481300
2009-06-30,,,,,,,92.72000122070312,93.05999755859375,91.2699966430664,91.94999694824219,72.45059204101562,228888200
2009-07-01,,,,,,,92.33999633789062,93.2300033569336,92.20999908447266,92.33000183105469,72.75001525878906,173041100
2009-07-02,,,,,,,91.12999725341797,92.36000061035156,89.76000213623047,89.80999755859375,70.76441192626953,212309900
2009-07-06,,,,,,,88.94000244140625,89.93000030517578,88.66000366210938,89.80000305175781,70.75654602050781,174499600
